Context,ID,Age,Sex,Scurvy,Anemia,Infection,Cut_marks,Hypoplastic_defects,Decapitation,Scalping,Muscle_removal,Heart_extraction,Dismemberment
Grupo_Norte,44_2,5.5,NA,0,1,1,0,0,0,0,0,0,0
Grupo_Norte,45_3,17,NA,0,0,0,0,1,0,0,0,0,0
Grupo_Norte,46_5,5,NA,1,1,0,0,0,0,0,0,0,0
Grupo_Norte,47_7,12,NA,0,0,1,0,1,0,0,0,0,0
Grupo_Norte,47_8,7.5,NA,0,0,0,0,0,0,0,0,0,0
Grupo_Norte,48_9,2,NA,1,0,0,0,0,0,0,0,0,0
Grupo_Norte,48_10,1.82,NA,0,0,0,0,NA,0,0,0,0,0
Grupo_Norte,50_12,7,1,1,0,1,0,0,0,0,0,0,0
Grupo_Norte,50_13B,3,1,0,0,0,0,0,0,0,0,0,0
Grupo_Norte,55_14,10.5,1,1,1,1,0,1,0,0,0,0,0
Grupo_Norte,56_14D,3.5,1,1,1,1,0,0,0,0,0,0,0
Grupo_Norte,117_16bis,4.75,1,NA,NA,1,1,NA,NA,NA,0,0,1
Grupo_Norte,118_17,0.75,NA,1,0,1,1,0,0,0,1,0,0
Grupo_Norte,118_19,2,NA,1,0,0,0,1,0,0,0,0,0
Grupo_Norte,118_20,14.5,NA,0,0,0,0,1,0,0,0,0,0
Grupo_Norte,180_89,19.5,NA,1,0,1,0,0,0,0,0,0,0
Grupo_Norte,181_90,15,1,1,0,0,0,0,0,0,0,0,0
Grupo_Norte,181_91_1,12,NA,0,0,0,0,1,0,0,NA,NA,NA
Grupo_Norte,182_93_1,3,0,0,0,0,0,0,0,0,0,0,0
Grupo_Norte,182_94,11.5,NA,1,0,1,1,1,0,0,0,0,1
Grupo_Norte,183_95,13,NA,1,0,NA,0,1,0,0,NA,NA,NA
Grupo_Norte,183_95b,0.5,NA,1,0,1,0,0,0,0,0,0,0
Grupo_Norte,183_96,13.5,NA,1,1,0,0,1,0,0,0,0,0
Grupo_Norte,183_96b,2.25,NA,1,0,0,0,NA,NA,NA,0,0,0
Grupo_Norte,183_97,2.5,NA,1,1,NA,1,0,0,1,0,0,0
Grupo_Norte,184_98a,4,NA,NA,NA,0,0,NA,0,0,0,0,0
Grupo_Norte,184_98b,2,NA,NA,NA,0,0,NA,NA,NA,0,0,0
Grupo_Norte,184_99,23,1,NA,NA,0,0,NA,NA,NA,0,0,0
Grupo_Norte,185_100-101,51,0,0,NA,0,0,1,NA,NA,0,0,0
Grupo_Norte,185_100b,3,NA,0,NA,0,0,NA,NA,NA,0,0,0
Grupo_Norte,186_102,67,1,1,0,0,0,NA,0,0,0,0,0
Grupo_Norte,187_103,5,1,0,1,1,0,1,0,0,0,0,0
Grupo_Norte,187_104,15.5,1,0,0,0,0,0,0,0,0,0,0
Grupo_Norte,188_105,7,NA,1,0,1,0,0,0,0,0,0,0
